,hh_id,maz,walk_subzone,income,autos,jtf_choice,size,workers,auto_suff
17637,3070891,2986,0,36400,1,1,4,0,cars>=wkrs
17638,3333411,2986,0,53000,2,1,4,2,cars>=wkrs
17639,1327977,2986,0,16900,1,1,2,0,cars>=wkrs
17640,2045136,2986,0,62000,1,1,4,1,cars>=wkrs
17641,1559903,2986,0,30500,1,1,4,0,cars>=wkrs
17642,2190525,2987,0,40800,1,1,2,2,cars<wkrs
17643,1718469,2987,0,39000,1,1,2,1,cars>=wkrs
17644,1797780,2987,0,32800,1,-3,2,1,cars>=wkrs
17645,2950320,2987,0,20300,0,-3,3,0,nocars
17646,2252463,2987,0,24000,2,1,2,2,cars>=wkrs
17647,2627576,2988,0,58000,2,1,3,2,cars>=wkrs
17649,3586708,2988,0,68508,1,1,4,3,cars<wkrs
17650,3541625,2988,0,35500,2,1,4,3,cars<wkrs
17652,3475663,2988,0,107000,1,1,3,3,cars<wkrs
17653,2749801,2988,0,83400,3,1,3,2,cars>=wkrs
17654,3306572,2988,0,46708,2,1,4,2,cars>=wkrs
17655,608038,2988,0,50000,1,-2,1,1,cars>=wkrs
17656,2190549,2989,0,40600,2,1,2,2,cars>=wkrs
17657,1314563,2989,0,34300,0,1,2,0,nocars
17658,2790363,2989,0,355000,2,1,3,2,cars>=wkrs
17659,2503370,2989,0,37300,2,1,2,2,cars>=wkrs
17660,2190550,2989,0,36000,2,1,2,2,cars>=wkrs
17661,679342,2989,0,10050,2,-2,1,1,cars>=wkrs
17662,3076816,2990,0,13400,2,1,4,0,cars>=wkrs
17663,1155661,2990,0,48000,1,-2,1,1,cars>=wkrs
17664,2818892,2990,0,38300,2,1,4,2,cars>=wkrs
17665,679385,2990,0,16000,1,-2,1,1,cars>=wkrs
17666,1605880,2990,0,26000,2,1,2,1,cars>=wkrs
17667,1155667,2990,0,70000,1,-2,1,1,cars>=wkrs
17668,2351812,2990,0,37900,4,-3,2,2,cars>=wkrs
17669,812132,2990,0,39600,0,-2,1,1,nocars
17670,401826,2990,0,52000,2,-2,1,1,cars>=wkrs
17671,679369,2990,0,0,1,-2,1,1,cars>=wkrs
